#Name: waxd.dat
#ProfileType: 3
#ScatteringType:0
#Wavelength: 0.124
#PlotSize: 1374
#PixelSize: 0.172
#xUnit: pixel
#SampleDistance: 5454.6
#IntSartAngle:0
#IntTermAngle:6.283
#Integrated Intensity
#q(1/nm)	Intensity	sigma
#-------------------
1.0304	9.710	0.078
1.0320	9.841	0.077
1.0336	9.758	0.078
1.0352	9.794	0.077
1.0368	458.872	0.531
1.0384	9.636	0.077
1.0400	9.685	0.076
1.0416	9.627	0.077
1.0432	9.687	0.076
1.0448	9.494	0.077
1.0464	9.611	0.076
1.0480	9.660	0.077
1.0496	9.495	0.076
1.0512	9.490	0.075
1.0528	9.659	0.077
1.0544	9.497	0.076
1.0560	9.441	0.076
1.0576	9.500	0.076
1.0592	9.604	0.076
1.0608	9.461	0.076
1.0624	9.365	0.075
1.0640	9.431	0.075
1.0656	9.469	0.076
1.0672	9.338	0.075
1.0688	9.354	0.075
1.0704	9.425	0.075
1.0719	9.280	0.075
1.0735	9.372	0.075
1.0751	9.312	0.075
1.0767	9.332	0.075
1.0783	9.201	0.074
1.0799	9.372	0.075
1.0815	9.176	0.074
1.0831	9.231	0.074
1.0847	9.136	0.074
1.0863	9.146	0.074
1.0879	9.154	0.074
1.0895	9.262	0.074
1.0911	9.110	0.074
1.0927	9.255	0.074
1.0943	9.151	0.074
1.0959	9.066	0.074
1.0975	9.233	0.074
1.0991	9.087	0.074
1.1007	8.944	0.072
1.1023	9.066	0.073
1.1039	8.972	0.073
1.1055	9.040	0.073
1.1071	8.861	0.073
1.1087	9.008	0.072
1.1103	9.043	0.073
1.1119	8.877	0.072
1.1135	8.900	0.072
1.1151	8.895	0.073
1.1167	8.985	0.072
1.1183	8.931	0.073
1.1199	8.861	0.072
1.1215	8.810	0.072
1.1230	8.759	0.072
1.1246	9.029	0.073
1.1262	8.855	0.072
1.1278	8.901	0.072
1.1294	8.767	0.072
1.1310	8.742	0.071
1.1326	8.826	0.072
1.1342	8.771	0.072
1.1358	8.651	0.071
1.1374	8.849	0.072
1.1390	8.706	0.071
1.1406	8.685	0.071
1.1422	8.674	0.071
1.1438	8.717	0.071
1.1454	8.505	0.071
1.1470	8.664	0.070
1.1486	8.682	0.071
1.1502	8.628	0.071
1.1518	8.651	0.071
1.1534	8.719	0.072
1.1550	8.572	0.070
1.1566	8.663	0.071
1.1582	8.560	0.070
1.1598	8.339	0.070
1.1614	8.297	0.069
1.1630	8.097	0.068
1.1646	8.104	0.069
1.1662	7.960	0.067
1.1678	7.872	0.067
1.1694	7.930	0.067
1.1710	7.854	0.067
1.1726	7.825	0.067
1.1742	7.828	0.067
1.1757	7.887	0.067
1.1773	7.764	0.066
1.1789	7.760	0.066
1.1805	7.586	0.066
1.1821	7.602	0.065
1.1837	7.644	0.066
1.1853	7.660	0.066
1.1869	7.654	0.066
1.1885	7.894	0.067
1.1901	7.677	0.066
1.1917	7.748	0.067
1.1933	7.791	0.066
1.1949	7.797	0.067
1.1965	7.821	0.066
